size,variant,implementation_mode,lambda_mem,seed,trial_index,n_cycles,correct_residence_fraction,correct_remaining_cycles_after_hit,correct_cycles_after_hit,correct_escape_probability,correct_transition_opportunities,correct_escape_count,correct_return_probability,correct_return_count,correct_mean_return_time,correct_first_residence_time,correct_first_residence_censored,relaxed_basin_residence_fraction,relaxed_basin_escape_probability,late_channel_alignment,late_channel_alignment_gap_to_transmitted,late_hard_channel_disagreement_rate,mean_state_BER,late_state_BER,mean_syndrome_weight_fraction,late_syndrome_weight_fraction,mean_bit_flip_rate,late_bit_flip_rate,mean_backflip_rate,late_backflip_rate
N192_M96,pSA,pSA,0.0,20300936,10,19200,0.0,19200.0,0.0,1.0,1.0,1.0,0.0,0.0,nan,1.0,0.0,0.0,1.0,0.3144502426201172,0.37744673747729524,0.3175075954861111,0.3309320746527778,0.3305023871527778,0.43498914930555554,0.43490668402777777,0.19728868272569444,0.19678276909722223,0.1474459006091566,0.14696358243788593
N192_M96,pSA,pSA,0.0,20300936,11,19200,0.0,19200.0,0.0,1.0,1.0,1.0,0.0,0.0,nan,1.0,0.0,0.0,1.0,0.30681917387654006,0.34217419304462865,0.3180067274305556,0.34355305989583335,0.3431564670138889,0.4366232638888889,0.43577039930555556,0.19895100911458333,0.19788953993055555,0.1515458929013431,0.1506338565637276
N192_M96,pSA,pSA,0.0,20300936,12,19200,0.0,19200.0,0.0,1.0,1.0,1.0,0.0,0.0,nan,1.0,0.0,0.0,1.0,0.3108907450264284,0.3491390996550203,0.3201486545138889,0.3395279947916667,0.3380978732638889,0.4350347222222222,0.43568359375,0.19776909722222222,0.19795464409722222,0.14972720865703862,0.14953640256257253
N192_M96,pSA,pSA,0.0,20300936,13,19200,0.0,19200.0,0.0,1.0,1.0,1.0,0.0,0.0,nan,1.0,0.0,0.0,1.0,0.298079774523192,0.3582164480261048,0.32408637152777775,0.3417890082465278,0.3419509548611111,0.4368440755208333,0.4382769097222222,0.19975341796875,0.20050564236111112,0.15174812321346737,0.15234396899991756
N192_M96,pSA,pSA,0.0,20300936,14,19200,0.0,19200.0,0.0,1.0,1.0,1.0,0.0,0.0,nan,1.0,0.0,0.0,1.0,0.33223095361461263,0.39388536908673183,0.3089963107638889,0.3220960828993056,0.32195638020833334,0.4304953342013889,0.4305099826388889,0.19294867621527778,0.19312391493055556,0.14232071709560434,0.14241203167307853
N192_M96,pSA,pSA,0.0,20300936,15,19200,0.0,19200.0,0.0,1.0,1.0,1.0,0.0,0.0,nan,1.0,0.0,0.0,1.0,0.33828453294637056,0.3792386088096066,0.30451171875,0.32171522352430554,0.31809027777777776,0.42963921440972225,0.4280685763888889,0.1922705078125,0.19028428819444446,0.14174118881641856,0.13951734299962765
N192_M96,pSA,pSA,0.0,20300936,16,19200,0.0,19200.0,0.0,1.0,1.0,1.0,0.0,0.0,nan,1.0,0.0,0.0,1.0,0.33055225163585134,0.35892222604874063,0.31087890625,0.33089463975694444,0.32917534722222225,0.43123697916666665,0.4322916666666667,0.19349962022569445,0.19300889756944445,0.1446054315618264,0.14386460943224405
N192_M96,pSA,pSA,0.0,20300936,17,19200,0.0,19200.0,0.0,1.0,1.0,1.0,0.0,0.0,nan,1.0,0.0,0.0,1.0,0.31229093058527585,0.362951118132391,0.31704644097222223,0.3356952582465278,0.3354991319444444,0.4344558376736111,0.43561631944444446,0.19708251953125,0.19777669270833334,0.1483476278132304,0.14881655113854395
N192_M96,pSA,pSA,0.0,20300936,18,19200,0.0,19200.0,0.0,1.0,1.0,1.0,0.0,0.0,nan,1.0,0.0,0.0,1.0,0.3304073710619958,0.3801886736442007,0.3088151041666667,0.3252218967013889,0.32421223958333334,0.4315874565972222,0.4318185763888889,0.19369086371527777,0.1937619357638889,0.1435319259100842,0.14336864042798814
N192_M96,pSA,pSA,0.0,20300936,19,19200,0.0,19200.0,0.0,1.0,1.0,1.0,0.0,0.0,nan,1.0,0.0,0.0,1.0,0.31827805720098623,0.35959640358313966,0.31591905381944446,0.3343307834201389,0.3325922309027778,0.43384819878472225,0.4330837673611111,0.1961892361111111,0.19570203993055554,0.147370741664259,0.14660837557757278
